"grupo_id","maestro_id","materia_id","grupo_letra","grupo_registro"
"10","6","13","ABC","2017-02-11"
"11","6","14","ABC","2017-02-11"
"12","6","15","ABC","2017-02-11"
"13","8","16","ABC","2017-02-11"
"14","8","17","AB","2017-02-11"
"16","25","19","ABC","2017-02-11"
"17","25","20","ABC","2017-02-11"
"18","25","21","ABC","2017-02-11"
"20","11","26","ABC","2017-02-11"
"21","11","22","ABC","2017-02-11"
"22","11","23","ABC","2017-02-11"
"66","24","48","ABC","2018-10-26"
"67","24","49","ABC","2018-10-26"
"68","24","50","ABC","2018-10-26"
"75","31","10","ABC","2023-09-15"
"76","31","11","ABC","2023-09-15"
"77","31","12","ABC","2023-09-15"
"86","34","1","A","2021-10-19"
"87","34","2","ABC","2021-10-19"
"96","37","37","ABC","2017-02-18"
"97","37","38","ABC","2017-02-17"
"98","37","52","ABC","2018-10-24"
"99","37","27","ABC","2021-10-19"
"100","37","28","ABC","2021-10-19"
"101","37","29","ABC","2021-10-19"
"111","40","10","ABC",NULL
"113","40","11","ABC",NULL
"114","40","12","ABC",NULL
"115","40","13","ABC",NULL
"116","40","14","ABC",NULL
"117","40","15","ABC",NULL
"118","40","16","ABC",NULL
"119","40","17","ABC",NULL
"120","40","18","ABC",NULL
"121","40","19","ABC",NULL
"122","40","20","ABC",NULL
"123","40","21","ABC",NULL
"124","40","22","ABC",NULL
"125","40","23","ABC",NULL
"126","40","24","ABC",NULL
"127","40","25","ABC",NULL
"128","40","26","ABC",NULL
"135","40","39","ABC",NULL
"136","40","43","ABC",NULL
"137","40","44","ABC",NULL
"138","40","45","ABC",NULL
"139","40","46","ABC",NULL
"140","40","47","ABC",NULL
"141","40","48","ABC",NULL
"142","40","49","ABC",NULL
"143","40","50","ABC",NULL
"145","40","9","ABC",NULL
"146","40","7","ABC",NULL
"147","40","6","ABC",NULL
"148","40","5","ABC",NULL
"149","40","4","ABC",NULL
"150","40","3","ABC",NULL
"151","40","2","ABC",NULL
"152","40","1","ABC",NULL
"154","34","3","ABC","2021-10-19"
"165","41","4","B","2023-09-15"
"167","41","5","ABC","2023-09-15"
"168","42","7","AB","2023-09-15"
"169","42","9","ABC","2023-09-15"
"177","8","53","ABC","2023-09-15"
"178","8","54","ABC","2023-09-15"
"183","40","53","ABC",NULL
"184","40","54","ABC",NULL
"185","40","55","ABC",NULL
"189","47","2","A","2024-09-04"
"190","47","3","C","2024-09-04"
"191","47","39","C","2024-09-04"
"192","49","9","B","2024-09-04"
"193","49","5","BC","2024-09-04"
"194","49","6","A","2024-09-04"
"195","50","52","A","2024-09-04"
"196","50","37","A","2024-09-04"
"197","50","38","A","2024-09-04"
"200","51","53","ABC","2024-09-04"
"201","51","54","ABC","2024-09-04"
"202","51","55","ABC","2024-09-04"
"203","42","43","BC","2024-09-05"
"204","41","6","ABC","2024-09-05"
"205","24","17","C","2024-09-05"
"206","24","18","ABC","2024-09-05"
"207","8","55","ABC","2024-09-12"
"208","52","4","A","2025-09-17"
"209","52","43","A","2025-09-17"
"210","52","1","B","2025-09-17"
"212","51","16","ABC","2025-09-17"
"213","51","17","ABC","2025-09-17"
"214","53","18","ABC","2025-09-17"
"215","53","48","ABC","2025-09-17"
"216","53","49","ABC","2025-09-17"
"217","53","50","ABC","2025-09-17"
"218","54","45","ABC","2025-09-17"
"219","54","46","ABC","2025-09-17"
"220","54","47","ABC","2025-09-17"
"221","11","25","AB",NULL
"222","11","44","ABC",NULL
"223","55","39","ABC","2026-01-23"
"224","55","24","AB","2026-01-23"
