"materia_id","materia_nombre","materia_nivel","materia_grado","materia_orden","materia_registro"
"1","ESPAÑOL I (LENGUA MATERNA)","4","1","1","2017-02-10"
"2","ESPAÑOL II","4","2","1","2017-02-10"
"3","ESPAÑOL III","4","3","1","2017-02-10"
"4","MATEMÁTICAS I","4","1","4","2017-02-10"
"5","MATEMÁTICAS II","4","2","4","2017-02-10"
"6","MATEMÁTICAS III","4","3","4","2017-02-10"
"7","CIENCIAS (BIOLOGÍA)","4","1","5","2017-02-10"
"9","CIENCIAS III (ÉNFASIS EN QUÍMICA)","4","3","5","2017-02-10"
"10","ARTES I","4","1","3","2017-02-10"
"11","ARTES II","4","2","3","2017-02-10"
"12","ARTES III","4","3","3","2017-02-10"
"13","FORMACIÓN SOCIAL Y HUMANA I","4","1","14","2017-02-10"
"14","FORMACIÓN SOCIAL Y HUMANA II","4","2","14","2017-02-10"
"15","FORMACIÓN SOCIAL Y HUMANA III","4","3","14","2017-02-10"
"16","INNOVACIÓN Y TECNOLOGÍA I","4","1","9","2017-02-10"
"17","INNOVACIÓN Y TECNOLOGÍA II","4","2","8","2017-02-10"
"18","INNOVACIÓN Y TECNOLOGÍA III","4","3","8","2017-02-10"
"19","EDUCACIÓN FÍSICA I","4","1","10","2017-02-10"
"20","EDUCACIÓN FÍSICA II","4","2","9","2017-02-10"
"21","EDUCACIÓN FÍSICA III","4","3","9","2017-02-10"
"22","FORMACIÓN CÍVICA Y ÉTICA I","4","1","8","2017-02-10"
"23","FORMACIÓN CÍVICA Y ÉTICA II","4","2","7","2017-02-10"
"24","GEOGRAFÍA DE MÉXICO Y EL MUNDO I","4","1","6","2017-02-10"
"25","HISTORIA I","4","1","7","2017-02-10"
"26","FORMACIÓN CÍVICA Y ÉTICA III","4","3","7","2017-02-10"
"27","FRANCÉS I","4","1","13","2017-02-10"
"28","FRANCÉS II","4","2","13","2017-02-10"
"29","FRANCÉS III","4","3","13","2017-02-10"
"37","INGLES 2°","4","2","2","2017-02-10"
"38","INGLES 3°","4","3","2","2017-02-10"
"39","HISTORIA II","4","2","6","2017-02-10"
"43","CIENCIAS II (ÉNFASIS EN FÍSICA)","4","2","5","2017-02-10"
"44","HISTORIA III","4","3","6","2018-08-31"
"45","MINDFULNESS I","4","1","11","2018-10-12"
"46","MINDFULNESS II","4","2","11","2018-10-12"
"47","MINDFULNESS III","4","3","11","2018-10-12"
"48","ROBÓTICA I","4","1","12","2018-10-15"
"49","ROBÓTICA II","4","2","12","2018-10-15"
"50","ROBÓTICA III","4","3","12","2018-10-15"
"52","INGLES 1°","4","1","2","2018-10-24"
"53","EMPRENDIMIENTO I","4","1","15","2023-09-15"
"54","EMPRENDIMIENTO II","4","2","15","2023-09-15"
"55","EMPRENDIMIENTO III","4","3","15","2023-09-15"
